doc_id,topic,confidence,text_preview
0,3,0.9999999959212634,tv future hand viewer home theatre system plasma highdefinition tv digital video recorder move livin...
1,6,0.9999999942595793,worldcom boss leave book alone former worldcom boss bernie ebbers accuse oversee 11bn 58bn fraud nev...
2,2,0.9999999962119187,tiger wary farrell gamble leicester say rush make bid andy farrell great britain rugby league captai...
3,2,0.8362384204335748,yeade face newcastle fa cup premiership side newcastle united face trip ryman premier league leader ...
4,0,0.9999999964393814,ocean twelve raid box office ocean twelve crime caper sequel star george clooney brad pitt julia rob...
5,5,0.9999999955576425,howard hit back mongrel jibe michael howard say claim peter hain tory leader act like attack mongrel...
6,5,0.9999999949960969,blair prepare name poll date tony blair likely name 5 may election day parliament return easter brea...
7,1,0.9999999967782249,henman hope end dubai third seed tim henman slump straight set defeat raininterrupte dubai open quar...
8,2,0.9999999962119187,wilkinson fit face edinburgh england captain jonny wilkinson make longawaite return injury edinburgh...
9,0,0.9999999964393814,last star war child sixth final star war movie may suitable young child filmmaker george lucas say t...
10,0,0.752983927603732,berlin cheer antinazi film german movie antinazi resistance heroine draw loud applause berlin film f...
11,7,0.9999999965588117,virgin blue share plummet 20 share australian budget airline virgin blue plunge 20 warn steep fall f...
12,7,0.6201349687660488,crude oil price back 50 cold weather across part united states much europe push we crude oil price 5...
13,5,0.9999801969807051,hague give pm ambition former conservative leader william hague say stand leadership give ambition p...
14,1,0.9999999967782249,moya emotional davis cup win carlos moya describe spain davis cup victory highlight career beat andy...
15,6,0.9999999942595793,korean credit card firm rescue south korea large credit card firm avert liquidation follow one trill...
16,5,0.9674240830461095,howard back stem cell research michael howard back stem cell research say important people frightene...
17,1,0.8841787439988182,connor boost british tennis former world number one jimmy connor plan longterm relationship lawn ten...
18,7,0.5527906611803514,japanese banking battle end japan sumitomo mitsui financial withdraw takeover offer rival bank ufj h...
19,-1,0.08399262781678155,game maker fight survival one britain large independent game maker argonaut games put sale londonbas...
20,-1,0.32590262871622894,security warn fbi virus us federal bureau investigation warn computer virus spread via email purport...
21,3,0.9999999959212634,halo 2 herald traffic explosion grow popularity online gaming could spell problem net service firm w...
22,2,0.3625532066996215,bates seal takeover ken bate complete takeover leed unite 73yearold former chelsea chairman seal dea...
23,2,0.9999999962119187,cole face lengthy injury layoff aston villa carlton cole could six week knee injury striker seasonlo...
24,3,0.9999999952746799,mobile audio enter new dimension mobile phone move close ubiquitous allinone medium player audio bec...
25,1,0.9999999967782249,moya fight back indian title carlos moya become first man successfully defend chennai open title bea...
26,0,0.9999999964393814,career honour actor dicaprio actor leonardo dicaprio exceptional career honour santa barbara interna...
27,3,0.9999999952746799,mobile gig aim rock 3 g forget go crowded bar enjoy gig late darling music press could also live gig...
28,5,0.9999999955139989,terror suspect face house arrest uk citizen suspect involvement terrorism could face house arrest pa...
29,0,0.7543901696420837,halloween writer debra hill die screenwriter producer debra hill well know work 70 horror classic ha...
30,4,0.5722611082955077,royal couple watch nation mood prince charles camilla parker bowle await nation reaction announce ma...
31,3,0.9999972109617321,firefox browser take microsoft microsoft internet explorer serious rival longawaite firefox 10 web b...
32,2,0.2848790689520502,celebrity get skate former england footballer paul gascoigne join eastender actress scarlett johnson...
33,3,0.9999999943950884,show mtv osbournes rock star ozzy osbourne say family make episode reality tv show osbourne end like...
34,-1,0.6176282513914855,insurance boss plead guilty another three us insurance executive plead guilty fraud charge stem ongo...
35,5,0.9600690491579487,sayeed stand tory mp tory mp jonathan sayeed stand ground ill health decision come mr sayeed survive...
36,3,0.9403318376988801,gamer snap new sony psp gamer buy almost first batch sony new playstation portable psp game console ...
37,3,0.9999999943950884,row threatens hendrix museum plan proposal open museum dedicate jimi hendrix flail row home late fat...
38,5,0.9999999949960969,debate need donation cap cap donation political party introduce yet election watchdog say fear big d...
39,7,0.9999999965588117,german growth go reverse germany economy shrink 02 last three month 2004 upsetting hope sustained re...
40,5,0.9999999955576425,labour target hardcore truant fresh crackdown persistent truant england launch education secretary r...
41,1,0.9613177113125383,federer claim dubai crown world number one roger federer add dubai championship trophy long list suc...
42,7,0.874478029019213,house price show slight increase price home uk rise seasonally adjust 05 february say nationwide bui...
43,1,0.41619058556661953,disappoint scott solid start allan scott confident win medal next week european indoor championship ...
44,3,0.9999999959212634,panda benefit wireless net world dwindle panda population get help hand wireless internet network wo...
45,3,0.9572538366028936,franz man seek government help franz ferdinand frontman alex kapranos call government help musician ...
46,4,0.5722611082955077,jamieson issue warn bigot scotland justice minister warn bigoted soccer fan want hit hurt ban match ...
47,5,0.9999999949960969,campaign cold call question labour conservative still telephone million people sign make sure get ma...
48,5,0.9993804355706228,england children tsar appoint first child commissioner england appoint great ormond street hospital ...
49,7,0.9999999965588117,stock market eye japan recovery japanese share end year high level since 13 july amidst hope economi...
